time force
0:0:2 -0.24
0:0:2 -0.58
0:0:2 -0.98
0:0:2 -0.66
0:0:2 -0.44
0:0:2 -0.53
0:0:2 -0.35
0:0:2 -0.44
0:0:2 -0.49
0:0:2 -0.70
0:0:3 -0.72
0:0:3 -0.86
0:0:3 -0.89
0:0:3 -0.94
0:0:3 -0.85
0:0:3 -0.89
0:0:3 -0.81
0:0:3 -0.61
0:0:3 -0.70
0:0:3 -1.07
0:0:3 -0.84
0:0:4 -0.85
0:0:4 -1.14
0:0:4 -1.17
0:0:4 -1.37
0:0:4 -1.29
0:0:4 -0.90
0:0:4 -0.68
0:0:4 -0.78
0:0:4 -0.78
0:0:4 -0.91
0:0:4 -1.10
0:0:4 -1.20
0:0:5 -1.10
0:0:5 -1.26
0:0:5 -1.59
0:0:5 -1.83
0:0:5 -1.57
0:0:5 -1.24
0:0:5 -1.07
0:0:5 -1.16
0:0:5 -1.33
0:0:5 -1.24
0:0:5 -1.40
0:0:6 -1.48
0:0:6 -1.30
0:0:6 -1.20
0:0:6 -1.07
0:0:6 -1.39
0:0:6 -1.26
0:0:6 -1.25
0:0:6 -1.42
0:0:6 -1.33
0:0:6 -1.37
0:0:6 -1.22
0:0:6 -1.13
0:0:7 -1.39
0:0:7 -1.61
0:0:7 -1.63
0:0:7 -1.35
0:0:7 -1.51
0:0:7 -1.60
0:0:7 -1.63
0:0:7 -1.70
0:0:7 -1.58
0:0:7 -1.42
0:0:7 -1.54
0:0:8 -1.62
0:0:8 -1.71
0:0:8 -1.68
0:0:8 -1.92
0:0:8 -1.88
0:0:8 -1.59
0:0:8 -1.75
0:0:8 -2.02
0:0:8 -2.17
0:0:8 -2.05
0:0:8 -2.10
0:0:8 -2.01
0:0:9 -1.62
0:0:9 -1.79
0:0:9 -1.70
0:0:9 -1.66
0:0:9 -2.01
0:0:9 -2.31
0:0:9 -2.15
0:0:9 -1.82
0:0:9 -1.79
0:0:9 -2.05
0:0:9 -1.89
0:0:10 -1.93
0:0:10 -1.62
0:0:10 -1.79
0:0:10 -1.93
0:0:10 -1.79
0:0:10 -1.82
0:0:10 -1.79
0:0:10 -2.23
0:0:10 -2.39
0:0:10 -2.34
0:0:10 -2.14
0:0:10 -2.40
0:0:11 -2.25
0:0:11 -2.25
0:0:11 -2.07
0:0:11 -2.15
0:0:11 -2.21
0:0:11 -2.24
0:0:11 -2.05
0:0:11 -2.18
0:0:11 -2.16
0:0:11 -1.99
0:0:11 -2.32
0:0:12 -2.45
0:0:12 -2.23
0:0:12 -2.48
0:0:12 -2.45
0:0:12 -2.50
0:0:12 -2.58
0:0:12 -2.29
0:0:12 -2.36
0:0:12 -2.20
0:0:12 -2.21
0:0:12 -2.47
0:0:13 -2.46
0:0:13 -2.16
0:0:13 -2.24
0:0:13 -2.37
0:0:13 -2.15
0:0:13 -2.27
0:0:13 -2.34
0:0:13 -2.15
0:0:13 -2.40
0:0:13 -2.28
0:0:13 -1.90
0:0:13 -2.03
0:0:14 -2.09
0:0:14 -2.47
0:0:14 -2.27
0:0:14 -2.34
0:0:14 -2.70
0:0:14 -2.44
0:0:14 -2.92
0:0:14 -2.80
0:0:14 -2.42
0:0:14 -2.44
0:0:14 -2.39
0:0:15 -2.40
0:0:15 -2.89
0:0:15 -2.88
0:0:15 -2.93
0:0:15 -2.83
0:0:15 -3.01
0:0:15 -3.11
0:0:15 -2.94
0:0:15 -2.68
0:0:15 -2.48
0:0:15 -2.91
0:0:15 -2.98
0:0:16 -2.82
0:0:16 -2.92
0:0:16 -2.97
0:0:16 -2.93
0:0:16 -3.15
0:0:16 -2.80
0:0:16 -2.73
0:0:16 -2.60
0:0:16 -2.41
0:0:16 -2.37
0:0:16 -2.56
0:0:17 -2.67
0:0:17 -2.41
0:0:17 -2.01
0:0:17 -2.54
0:0:17 -2.55
0:0:17 -2.42
0:0:17 -2.21
0:0:17 -2.20
0:0:17 -2.62
0:0:17 -2.88
0:0:17 -2.75
0:0:17 -2.87
0:0:18 -3.06
0:0:18 -2.60
0:0:18 -2.64
0:0:18 -2.79
0:0:18 -2.95
0:0:18 -2.91
0:0:18 -3.14
0:0:18 -3.16
